iter	Passed	Remaining
0	11	9276
1	22	8747
2	33	8643
3	43	8486
4	54	8536
5	65	8560
6	76	8586
7	87	8498
8	99	8608
9	110	8580
10	122	8640
11	133	8648
12	145	8672
13	156	8627
14	166	8560
15	176	8507
16	186	8436
17	196	8399
18	206	8340
19	216	8302
20	226	8270
21	236	8227
22	246	8184
23	255	8128
24	264	8076
25	274	8031
26	283	8002
27	293	7965
28	303	7937
29	313	7908
30	322	7876
31	332	7865
32	343	7857
33	354	7868
34	365	7864
35	375	7833
36	384	7801
37	393	7774
38	403	7740
39	413	7731
40	423	7718
41	433	7706
42	443	7682
43	453	7664
44	462	7643
45	472	7626
46	482	7601
47	492	7592
48	503	7589
49	513	7582
50	523	7571
51	534	7562
52	545	7566
53	555	7544
54	563	7515
55	573	7495
56	582	7474
57	592	7458
58	602	7443
59	613	7440
60	624	7444
61	636	7452
62	649	7470
63	662	7495
64	732	8146
65	748	8192
66	768	8271
67	783	8296
68	795	8284
69	805	8264
70	817	8252
71	832	8276
72	844	8274
73	858	8281
74	879	8359
75	891	8349
76	901	8323
77	911	8295
78	922	8282
79	934	8274
80	947	8268
81	959	8257
82	968	8227
83	977	8196
84	987	8165
85	996	8134
86	1006	8107
87	1015	8081
88	1025	8054
89	1035	8028
90	1044	8001
91	1054	7977
92	1063	7950
93	1073	7924
94	1083	7902
95	1092	7876
96	1102	7853
97	1111	7827
98	1122	7811
99	1132	7789
100	1141	7765
101	1150	7740
102	1160	7715
103	1169	7689
104	1178	7666
105	1188	7643
106	1197	7621
107	1206	7598
108	1216	7577
109	1225	7555
110	1235	7537
111	1244	7514
112	1254	7494
113	1263	7473
114	1273	7451
115	1282	7429
116	1291	7406
117	1300	7386
118	1310	7364
119	1320	7353
120	1330	7334
121	1340	7315
122	1350	7302
123	1359	7281
124	1369	7265
125	1379	7246
126	1388	7225
127	1397	7207
128	1406	7187
129	1416	7168
130	1425	7149
131	1435	7135
132	1445	7120
133	1455	7105
134	1465	7090
135	1475	7071
136	1485	7059
137	1495	7043
138	1504	7026
139	1515	7015
140	1526	7003
141	1536	6989
142	1545	6970
143	1554	6953
144	1563	6935
145	1573	6919
146	1583	6904
147	1592	6887
148	1602	6870
149	1611	6855
150	1621	6838
151	1630	6821
152	1638	6802
153	1648	6786
154	1657	6769
155	1666	6750
156	1675	6733
157	1684	6716
158	1693	6700
159	1702	6682
160	1711	6666
161	1720	6649
162	1729	6631
163	1740	6620
164	1749	6603
165	1758	6587
166	1767	6571
167	1776	6555
168	1784	6535
169	1793	6520
170	1802	6504
171	1811	6488
172	1821	6474
173	1831	6461
174	1841	6450
175	1850	6436
176	1860	6420
177	1869	6405
178	1878	6391
179	1886	6373
180	1896	6359
181	1905	6344
182	1914	6328
183	1923	6313
184	1932	6299
185	1941	6285
186	1951	6270
187	1960	6257
188	1969	6242
189	1979	6230
190	1989	6216
191	1997	6202
192	2007	6187
193	2016	6173
194	2025	6160
195	2034	6146
196	2044	6133
197	2053	6119
198	2062	6105
199	2071	6091
200	2081	6077
201	2090	6065
202	2100	6052
203	2109	6039
204	2118	6025
205	2128	6013
206	2138	6001
207	2147	5988
208	2157	5975
209	2166	5963
210	2175	5950
211	2185	5937
212	2195	5926
213	2204	5913
214	2214	5901
215	2223	5888
216	2232	5875
217	2243	5864
218	2252	5852
219	2262	5841
220	2271	5828
221	2281	5815
222	2290	5802
223	2299	5791
224	2310	5782
225	2321	5773
226	2332	5764
227	2343	5756
228	2353	5744
229	2362	5732
230	2372	5721
231	2383	5712
232	2394	5703
233	2405	5694
234	2415	5683
235	2427	5676
236	2438	5668
237	2448	5659
238	2459	5649
239	2469	5639
240	2480	5629
241	2491	5620
242	2502	5612
243	2512	5601
244	2523	5592
245	2534	5585
246	2546	5577
247	2557	5567
248	2567	5556
249	2577	5547
250	2588	5537
251	2598	5527
252	2609	5518
253	2619	5507
254	2630	5498
255	2640	5487
256	2649	5474
257	2658	5461
258	2668	5450
259	2677	5436
260	2686	5424
261	2695	5411
262	2705	5400
263	2715	5389
264	2724	5376
265	2733	5363
266	2742	5351
267	2751	5339
268	2760	5326
269	2770	5314
270	2779	5302
271	2787	5288
272	2797	5276
273	2806	5264
274	2816	5253
275	2826	5242
276	2836	5232
277	2845	5220
278	2855	5209
279	2864	5197
280	2874	5185
281	2882	5172
282	2892	5160
283	2901	5149
284	2910	5136
285	2920	5125
286	2929	5113
287	2937	5100
288	2946	5087
289	2955	5075
290	2964	5063
291	2973	5050
292	2982	5037
293	2991	5025
294	3000	5014
295	3010	5004
296	3019	4992
297	3029	4980
298	3037	4968
299	3047	4956
300	3055	4944
301	3065	4932
302	3074	4921
303	3083	4909
304	3093	4898
305	3101	4885
306	3110	4872
307	3119	4861
308	3128	4849
309	3137	4837
310	3146	4825
311	3155	4814
312	3164	4802
313	3174	4791
314	3183	4779
315	3192	4768
316	3200	4756
317	3211	4745
318	3220	4734
319	3229	4723
320	3238	4711
321	3248	4700
322	3257	4688
323	3266	4677
324	3275	4665
325	3283	4653
326	3293	4642
327	3302	4631
