threshold,precision,recall,accuracy
0.0,0.14238,1.0,0.14238
0.01,0.14238,1.0,0.14238
0.02,0.14238,1.0,0.14238
0.03,0.28455,0.98886,0.6444
0.04,0.48591,0.9521,0.84976
0.05,0.59791,0.92407,0.90071
0.06,0.66732,0.90275,0.92207
0.07,0.71387,0.88623,0.93323
0.08,0.7481,0.87461,0.94022
0.09,0.77347,0.86527,0.94474
0.1,0.79273,0.85653,0.94769
0.11,0.80975,0.8497,0.95017
0.12,0.82306,0.84455,0.95202
0.13,0.83439,0.83928,0.9534
0.14,0.84225,0.83377,0.9541
0.15,0.85033,0.83006,0.955
0.16,0.85739,0.82371,0.95539
0.17,0.8642,0.82084,0.95613
0.18,0.87103,0.81772,0.95681
0.19,0.87737,0.81401,0.95732
0.2,0.88058,0.80982,0.95729
0.21,0.88413,0.80778,0.95756
0.22,0.88804,0.80455,0.95773
0.23,0.89143,0.80144,0.95783
0.24,0.89504,0.79964,0.95812
0.25,0.89798,0.79796,0.95833
0.26,0.90125,0.79569,0.9585
0.27,0.90519,0.79353,0.95877
0.28,0.90788,0.79078,0.95879
0.29,0.91049,0.78814,0.9588
0.3,0.9124,0.78587,0.95877
0.31,0.91434,0.78359,0.95873
0.32,0.91585,0.78204,0.95873
0.33,0.91812,0.78024,0.9588
0.34,0.92099,0.77892,0.95901
0.35,0.92219,0.77784,0.95902
0.36,0.9228,0.77593,0.95885
0.37,0.92566,0.77389,0.95896
0.38,0.92728,0.77269,0.95901
0.39,0.92822,0.77126,0.95894
0.4,0.93024,0.7697,0.95899
0.41,0.93154,0.76754,0.95887
0.42,0.93248,0.76575,0.95875
0.43,0.93333,0.76455,0.9587
0.44,0.93462,0.76359,0.95873
0.45,0.93572,0.7618,0.95863
0.46,0.93603,0.76048,0.9585
0.47,0.93703,0.75916,0.95844
0.48,0.93864,0.75844,0.95855
0.49,0.93924,0.75713,0.95844
0.5,0.94011,0.75569,0.95836
0.51,0.94126,0.75425,0.95831
0.52,0.94177,0.75341,0.95826
0.53,0.94319,0.75162,0.95819
0.54,0.94383,0.75054,0.95812
0.55,0.94446,0.74946,0.95805
0.56,0.94476,0.74766,0.95785
0.57,0.9454,0.74647,0.95776
0.58,0.94617,0.74515,0.95768
0.59,0.94696,0.74407,0.95763
0.6,0.94759,0.74275,0.95752
0.61,0.94823,0.74144,0.95742
0.62,0.94877,0.74084,0.9574
0.63,0.94915,0.73988,0.95732
0.64,0.95056,0.73916,0.95739
0.65,0.95106,0.73772,0.95725
0.66,0.95158,0.73665,0.95717
0.67,0.95193,0.73521,0.95701
0.68,0.95261,0.73425,0.95696
0.69,0.95341,0.73281,0.95686
0.7,0.95455,0.73186,0.95686
0.71,0.95519,0.73018,0.95671
0.72,0.9556,0.72946,0.95665
0.73,0.95615,0.72862,0.9566
0.74,0.95621,0.72695,0.95638
0.75,0.95747,0.72527,0.9563
0.76,0.95766,0.72323,0.95604
0.77,0.95819,0.72192,0.95592
0.78,0.9584,0.72012,0.9557
0.79,0.95877,0.71844,0.95551
0.8,0.95928,0.71665,0.95532
0.81,0.95984,0.71557,0.95524
0.82,0.96006,0.71401,0.95505
0.83,0.96091,0.71246,0.95493
0.84,0.96205,0.71042,0.95478
0.85,0.96271,0.70802,0.95452
0.86,0.96374,0.70659,0.95444
0.87,0.96518,0.70371,0.9542
0.88,0.96598,0.70048,0.95384
0.89,0.96736,0.69569,0.95333
0.9,0.96872,0.68994,0.95268
0.91,0.97062,0.68455,0.95214
0.92,0.9717,0.67844,0.9514
0.93,0.97261,0.66778,0.95002
0.94,0.97406,0.6521,0.94799
0.95,0.97665,0.63102,0.94532
0.96,0.98017,0.59198,0.9402
0.97,0.98811,0.4976,0.92762
0.98,0.999,0.12024,0.87472
0.99,0.0,0.0,0.85762
1.0,0.0,0.0,0.85762
